"Location","measure_name","time","measure_value::double"
Tokyo,0001RSSI,1970-01-01 10:57:50,-45
Tokyo,0001RSSI,2022-11-11 19:51:00,-42
Tokyo,0001RSSI,2022-11-11 19:59:02,-49
Tokyo,0001RSSI,2022-11-11 20:13:03,-48
Tokyo,0001RSSI,2022-11-11 20:23:02,-46
Tokyo,0001RSSI,2022-11-11 20:34:02,-51
Tokyo,0001RSSI,2022-11-11 20:41:04,-48
Tokyo,0001RSSI,2022-11-11 20:44:19,-47
Tokyo,0001RSSI,2022-11-11 20:47:06,-54
Tokyo,0001RSSI,2022-11-11 21:04:18,-45
Tokyo,0001RSSI,2022-11-11 21:18:20,-53
Tokyo,0001RSSI,2022-11-11 21:22:16,-46
Tokyo,0001RSSI,2022-11-11 21:29:14,-45
Tokyo,0001RSSI,2022-11-11 21:31:35,-47
Tokyo,0001RSSI,2022-11-11 21:34:03,-47
Tokyo,0001RSSI,2022-11-11 21:40:06,-50
Tokyo,0001RSSI,2022-11-11 21:43:51,-45
Tokyo,0001RSSI,2022-11-11 21:47:24,-40
Tokyo,0001RSSI,2022-11-11 21:49:16,-40
Tokyo,0001RSSI,2022-11-11 21:50:33,-37
Tokyo,0001RSSI,2022-11-11 22:00:06,-38
Tokyo,0001RSSI,2022-11-11 22:02:40,-37
Tokyo,0001RSSI,2022-11-11 22:10:06,-38
Tokyo,0001RSSI,2022-11-11 22:12:42,-40
Tokyo,0001RSSI,2022-11-11 22:20:06,-38
Tokyo,0001RSSI,2022-11-11 22:30:06,-38
Tokyo,0001RSSI,2022-11-11 22:40:06,-40
Tokyo,0001RSSI,2022-11-11 22:50:06,-39
Tokyo,0001RSSI,2022-11-11 22:53:15,-38
Tokyo,0001RSSI,2022-11-11 23:00:06,-41
Tokyo,0001RSSI,2022-11-11 23:10:06,-41
Tokyo,0001RSSI,2022-11-11 23:20:06,-38
Tokyo,0001RSSI,2022-11-11 23:30:06,-41
Tokyo,0001RSSI,2022-11-11 23:40:06,-43
Tokyo,0001RSSI,2022-11-11 23:50:06,-42
Tokyo,0001RSSI,2022-11-12 00:00:06,-37
Tokyo,0001RSSI,2022-11-12 00:09:12,-40
Tokyo,0001RSSI,2022-11-12 00:22:58,-40
