"Location","measure_name","time","measure_value::double"
Tokyo,0002DO_1,2022-11-11 19:51:04,35.0
Tokyo,0002DO_1,2022-11-11 19:59:12,35.0
Tokyo,0002DO_1,2022-11-11 20:13:13,35.0
Tokyo,0002DO_1,2022-11-11 20:23:04,35.0
Tokyo,0002DO_1,2022-11-11 20:44:21,35.0
Tokyo,0002DO_1,2022-11-11 20:47:08,35.0
Tokyo,0002DO_1,2022-11-11 21:04:20,35.0
Tokyo,0002DO_1,2022-11-11 21:30:06,35.0
Tokyo,0002DO_1,2022-11-11 21:34:04,35.0
Tokyo,0002DO_1,2022-11-11 21:40:06,35.0
Tokyo,0002DO_1,2022-11-11 21:43:55,35.0
Tokyo,0002DO_1,2022-11-11 21:50:23,35.0
Tokyo,0002DO_1,2022-11-11 22:00:06,35.0
Tokyo,0002DO_1,2022-11-11 22:02:39,35.0
Tokyo,0002DO_1,2022-11-11 22:10:06,35.0
Tokyo,0002DO_1,2022-11-11 22:12:39,35.0
Tokyo,0002DO_1,2022-11-11 22:20:06,35.0
Tokyo,0002DO_1,2022-11-11 22:30:06,35.0
Tokyo,0002DO_1,2022-11-11 22:40:06,35.0
Tokyo,0002DO_1,2022-11-11 22:53:05,35.0
Tokyo,0002DO_1,2022-11-11 23:00:06,35.0
Tokyo,0002DO_1,2022-11-11 23:10:06,35.0
Tokyo,0002DO_1,2022-11-11 23:20:06,35.0
Tokyo,0002DO_1,2022-11-11 23:30:06,35.0
Tokyo,0002DO_1,2022-11-11 23:40:06,35.0
Tokyo,0002DO_1,2022-11-11 23:48:38,9.20
Tokyo,0002DO_1,2022-11-12 00:19:26,8.72
Tokyo,0002DO_1,2022-11-12 00:23:27,8.68
Tokyo,0002DO_1,2022-11-12 12:05:57,8.77
Tokyo,0002DO_1,2022-11-12 12:20:06,8.82
Tokyo,0002DO_1,2022-11-12 12:30:06,8.84
Tokyo,0002DO_1,2022-11-12 12:37:03,8.86
Tokyo,0002DO_1,2022-11-12 12:40:06,8.86
Tokyo,0002DO_1,2022-11-12 12:47:18,8.88
Tokyo,0002DO_1,2022-11-12 13:00:06,8.91
Tokyo,0002DO_1,2022-11-12 13:10:06,8.92
Tokyo,0002DO_1,2022-11-12 13:20:06,8.93
Tokyo,0002DO_1,2022-11-12 13:30:06,8.94
Tokyo,0002DO_1,2022-11-12 13:40:06,8.94
Tokyo,0002DO_1,2022-11-12 13:50:06,8.94
Tokyo,0002DO_1,2022-11-12 14:00:06,8.95
Tokyo,0002DO_1,2022-11-12 14:10:06,8.95
Tokyo,0002DO_1,2022-11-12 14:20:06,8.95
Tokyo,0002DO_1,2022-11-12 14:30:06,8.95
Tokyo,0002DO_1,2022-11-12 14:40:06,8.95
Tokyo,0002DO_1,2022-11-12 14:50:06,8.96
Tokyo,0002DO_1,2022-11-12 15:00:06,8.95
Tokyo,0002DO_1,2022-11-12 15:10:06,8.96
Tokyo,0002DO_1,2022-11-12 15:20:06,8.96
Tokyo,0002DO_1,2022-11-12 15:30:06,8.96
Tokyo,0002DO_1,2022-11-12 15:40:06,8.96
Tokyo,0002DO_1,2022-11-12 15:50:06,8.97
Tokyo,0002DO_1,2022-11-12 16:00:06,8.96
Tokyo,0002DO_1,2022-11-12 16:10:06,8.97
Tokyo,0002DO_1,2022-11-12 16:20:06,8.97
Tokyo,0002DO_1,2022-11-12 16:30:06,8.97
Tokyo,0002DO_1,2022-11-12 16:40:06,8.97
Tokyo,0002DO_1,2022-11-12 16:50:06,8.97
Tokyo,0002DO_1,2022-11-12 17:00:06,8.97
Tokyo,0002DO_1,2022-11-12 17:10:06,8.97
Tokyo,0002DO_1,2022-11-12 17:20:06,8.97
Tokyo,0002DO_1,2022-11-12 17:30:06,8.97
Tokyo,0002DO_1,2022-11-12 17:40:06,8.97
Tokyo,0002DO_1,2022-11-12 17:50:06,8.97
Tokyo,0002DO_1,2022-11-12 18:00:06,8.97
Tokyo,0002DO_1,2022-11-12 18:10:06,8.97
Tokyo,0002DO_1,2022-11-12 18:20:06,8.97
Tokyo,0002DO_1,2022-11-12 18:30:06,8.97
Tokyo,0002DO_1,2022-11-12 18:40:06,8.97
Tokyo,0002DO_1,2022-11-12 18:50:06,8.97
Tokyo,0002DO_1,2022-11-12 19:00:06,8.98
Tokyo,0002DO_1,2022-11-12 19:10:06,8.97
Tokyo,0002DO_1,2022-11-12 19:20:06,8.97
Tokyo,0002DO_1,2022-11-12 19:30:06,8.97
Tokyo,0002DO_1,2022-11-12 19:40:06,8.97
Tokyo,0002DO_1,2022-11-12 19:50:06,8.97
Tokyo,0002DO_1,2022-11-12 20:00:06,8.97
Tokyo,0002DO_1,2022-11-12 20:10:06,8.96
Tokyo,0002DO_1,2022-11-12 20:20:06,8.97
Tokyo,0002DO_1,2022-11-12 20:30:06,8.96
Tokyo,0002DO_1,2022-11-12 20:40:06,8.96
Tokyo,0002DO_1,2022-11-12 20:50:06,8.95
Tokyo,0002DO_1,2022-11-12 21:00:06,8.95
Tokyo,0002DO_1,2022-11-12 21:10:06,8.95
Tokyo,0002DO_1,2022-11-12 21:20:06,8.94
Tokyo,0002DO_1,2022-11-12 21:30:06,8.95
Tokyo,0002DO_1,2022-11-12 21:40:06,8.94
Tokyo,0002DO_1,2022-11-12 21:50:06,8.93
Tokyo,0002DO_1,2022-11-12 22:00:06,8.94
Tokyo,0002DO_1,2022-11-12 22:10:06,8.94
Tokyo,0002DO_1,2022-11-14 13:36:48,35.0
Tokyo,0002DO_1,2022-11-14 13:50:06,35.0
Tokyo,0002DO_1,2022-11-14 14:00:06,35.0
Tokyo,0002DO_1,2022-11-14 14:14:46,35.0
Tokyo,0002DO_1,2022-11-14 14:16:04,35.0
Tokyo,0002DO_1,2022-11-14 14:18:43,35.0
Tokyo,0002DO_1,2022-11-14 14:20:06,35.0
Tokyo,0002DO_1,2022-11-14 14:29:18,35.0
Tokyo,0002DO_1,2022-11-14 14:40:06,35.0
Tokyo,0002DO_1,2022-11-14 15:00:06,35.0
Tokyo,0002DO_1,2022-11-14 21:37:47,35.0
Tokyo,0002DO_1,2022-11-14 22:00:06,35.0
Tokyo,0002DO_1,2022-11-14 22:10:06,35.0
Tokyo,0002DO_1,2022-11-14 22:20:06,35.0
Tokyo,0002DO_1,2022-11-14 22:30:06,35.0
Tokyo,0002DO_1,2022-11-14 22:40:06,35.0
Tokyo,0002DO_1,2022-11-14 22:50:06,35.0
Tokyo,0002DO_1,2022-11-14 23:00:06,35.0
Tokyo,0002DO_1,2022-11-14 23:10:06,35.0
Tokyo,0002DO_1,2022-11-14 23:20:06,35.0
Tokyo,0002DO_1,2022-11-14 23:30:06,35.0
Tokyo,0002DO_1,2022-11-14 23:40:06,35.0
Tokyo,0002DO_1,2022-11-14 23:50:06,35.0
Tokyo,0002DO_1,2022-11-15 00:00:06,35.0
Tokyo,0002DO_1,2022-11-15 00:10:06,35.0
Tokyo,0002DO_1,2022-11-15 00:20:06,35.0
Tokyo,0002DO_1,2022-11-15 00:30:06,35.0
Tokyo,0002DO_1,2022-11-15 00:40:06,35.0
Tokyo,0002DO_1,2022-11-15 00:50:06,35.0
Tokyo,0002DO_1,2022-11-15 01:00:06,35.0
Tokyo,0002DO_1,2022-11-15 01:10:06,35.0
Tokyo,0002DO_1,2022-11-15 01:20:06,35.0
Tokyo,0002DO_1,2022-11-15 01:30:06,35.0
Tokyo,0002DO_1,2022-11-15 01:40:06,35.0
Tokyo,0002DO_1,2022-11-15 01:50:06,35.0
Tokyo,0002DO_1,2022-11-15 02:00:06,35.0
Tokyo,0002DO_1,2022-11-15 02:10:06,35.0
Tokyo,0002DO_1,2022-11-15 02:20:06,35.0
Tokyo,0002DO_1,2022-11-15 02:30:06,35.0
Tokyo,0002DO_1,2022-11-15 02:40:06,35.0
Tokyo,0002DO_1,2022-11-15 02:50:06,35.0
Tokyo,0002DO_1,2022-11-15 03:00:06,35.0
Tokyo,0002DO_1,2022-11-15 03:10:06,35.0
Tokyo,0002DO_1,2022-11-15 03:20:06,35.0
