time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:00.0,5.002,0.1449,0.725,3.055,0.005,0.0002,27.5,5.0253,0.0132,0.0665,3.046,0.005,,
00:00.1,5.0023,0.145,0.7252,3.081,0.143,,,5.0242,0.0448,0.2249,3.022,1.199,,
00:00.2,5.0025,0.145,0.7252,2.918,0.009,,,5.0195,0.153,0.7682,3.042,1.829,0.0065,26.5
00:00.3,5.0027,0.1449,0.7251,2.583,1.811,,,5.0144,0.1499,0.7516,3.06,1.561,,
00:00.4,5.0029,0.1449,0.725,3.054,0.023,,,5.0092,0.1465,0.7338,3.064,0.404,,
00:00.5,5.0028,0.1449,0.7248,3.058,0.006,,,5.0074,0.1455,0.7284,3.049,0.008,,
00:00.6,5.0029,0.1449,0.725,3.06,0.024,,,5.0056,0.1434,0.7179,3.063,0.004,,
00:00.7,5.0029,0.1449,0.725,0.121,0.042,,,5.0049,0.1427,0.7143,3.072,3.151,,
00:00.8,5.0029,0.1449,0.7251,3.049,0.004,,,5.0043,0.1419,0.7101,2.909,0.002,,
00:00.9,5.0025,0.1449,0.7249,3.055,0.005,,,5.0042,0.1416,0.7084,2.839,0.008,,
00:01.0,5.0028,0.1449,0.7248,2.492,0.011,0.0004,27.1,5.0036,0.1416,0.7086,3.058,1.758,,
00:01.1,5.0029,0.1449,0.7248,3.048,0.011,,,5.0033,0.1416,0.7083,3.047,0.569,,
00:01.2,5.0029,0.1449,0.7249,3.051,0.02,,,5.003,0.1456,0.7286,3.133,0.013,0.0067,27.6
00:01.3,5.0029,0.1449,0.725,3.01,0.007,,,5.0029,0.1456,0.7285,3.057,2.145,,
00:01.4,5.0029,0.1449,0.7251,3.043,0.005,,,5.0029,0.1456,0.7285,3.053,0.076,,
00:01.5,5.0028,0.1449,0.725,3.067,0.004,,,5.0029,0.1455,0.728,3.057,0.031,,
00:01.6,5.0029,0.1449,0.7249,2.969,0.004,,,5.0029,0.1453,0.727,3.051,0.009,,
00:01.7,5.0029,0.1449,0.7249,3.039,0.309,,,5.0029,0.1452,0.7263,3.05,0.006,,
00:01.8,5.0028,0.1449,0.7249,3.059,0.002,,,5.0029,0.1451,0.726,3.037,0.008,,
00:01.9,5.0029,0.1449,0.7251,3.077,0.005,,,5.0029,0.1451,0.726,3.09,3.194,,
00:02.0,5.0029,0.1449,0.7249,2.929,0.023,0.0006,27.2,5.0029,0.1451,0.7261,2.479,0.022,,
00:02.1,5.0029,0.1449,0.7251,3.064,0.004,,,5.0029,0.1451,0.726,3.049,0.009,,
00:02.2,5.0028,0.1449,0.7249,3.056,0.004,,,5.0029,0.1451,0.726,3.071,3.277,0.0069,27.1
