time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:00.0,5.0031,0.143,0.7153,3.035,1.281,0.0002,27.9,5.0242,0.0132,0.0664,3.002,0.008,,
00:00.1,5.0037,0.1406,0.7034,3.109,0.013,,,5.0227,0.0464,0.2329,0.482,0.023,,
00:00.2,5.0041,0.1397,0.6991,3.042,1.694,,,5.0184,0.15,0.7526,3.057,0.295,,
00:00.3,5.0042,0.1386,0.6937,3.054,0.013,,,5.0123,0.1473,0.7381,3.051,0.023,,
00:00.4,5.0041,0.138,0.6907,3.049,1.102,,,5.0087,0.1457,0.7295,3.084,0.665,,
00:00.5,5.0041,0.1376,0.6886,3.056,0.002,,,5.0066,0.1446,0.7239,3.029,0.663,0.0348,27.9
00:00.6,5.0042,0.1374,0.6874,3.048,0.007,,,5.0054,0.1433,0.7175,3.06,2.585,,
00:00.7,5.0042,0.1368,0.6848,0.783,0.006,,,5.005,0.1426,0.7136,3.036,0.027,,
00:00.8,5.0042,0.1364,0.6823,0.691,0.003,,,5.0044,0.1421,0.7111,3.131,0.021,,
00:00.9,5.0042,0.1359,0.68,3.114,0.013,,,5.0041,0.1419,0.7099,1.189,0.005,,
00:01.0,5.0041,0.1425,0.7129,3.039,0.004,0.0004,27.2,5.004,0.1419,0.7101,3.048,0.006,,
00:01.1,5.0041,0.1416,0.7084,3.064,0.013,,,5.004,0.1419,0.7101,3.048,0.606,,
00:01.2,5.0041,0.1426,0.7134,1.844,0.01,,,5.0038,0.1512,0.7568,3.063,0.005,,
00:01.3,5.004,0.1423,0.712,3.036,0.003,,,5.0037,0.1503,0.7519,0.467,0.006,,
00:01.4,5.0041,0.142,0.7108,3.047,0.006,,,5.0032,0.1477,0.7391,3.058,0.003,,
00:01.5,5.0042,0.1415,0.7079,3.089,0.002,,,5.003,0.1474,0.7374,3.057,0.005,0.035,28
00:01.6,5.0041,0.1411,0.706,3.025,1.659,,,5.0029,0.1464,0.7327,3.053,0.004,,
00:01.7,5.0042,0.1409,0.7049,3.123,0.012,,,5.0029,0.1463,0.732,3.06,0.02,,
00:01.8,5.0041,0.1429,0.7151,3.042,0.006,,,5.0029,0.1458,0.7294,3.054,0.017,,
00:01.9,5.0042,0.1403,0.702,3.063,0.106,,,5.0029,0.1457,0.7289,3.032,2.007,,
00:02.0,5.004,0.1439,0.7199,3.05,0.012,0.0006,27.7,5.0029,0.1455,0.728,0.628,0.137,,
00:02.1,5.0042,0.1427,0.7139,3.055,0.002,,,5.0029,0.1455,0.7278,3.068,0.004,,
00:02.2,5.0041,0.1439,0.7203,3.083,0.023,,,5.003,0.1454,0.7272,3.046,0.004,,
00:02.3,5.0041,0.1427,0.7139,0.878,0.002,,,5.0029,0.1454,0.7273,3.264,0.004,,
00:02.4,5.0041,0.1419,0.7098,1.235,0.003,,,5.0029,0.1454,0.7272,3.058,0.007,,
00:02.5,5.0041,0.1414,0.7076,3.08,0.002,,,5.0029,0.1453,0.7271,3.049,3.017,0.0353,27.3
00:02.6,5.0041,0.1411,0.7061,3.042,1.942,,,5.0028,0.1453,0.727,3.078,0.008,,
00:02.7,5.0041,0.141,0.7053,2.485,0.099,,,5.0027,0.1453,0.727,3.048,3.289,,
00:02.8,5.0041,0.1437,0.7192,3.045,0.01,,,5.0027,0.1454,0.7272,3.052,2.022,,
00:02.9,5.0042,0.141,0.7058,3.148,0.015,,,5.0028,0.1454,0.7272,3.247,0.005,,
00:03.0,5.0041,0.1394,0.6978,0.72,0.024,0.0008,28.3,5.0029,0.1454,0.7272,3.183,0.005,,
00:03.1,5.0042,0.1415,0.7083,2.935,0.248,,,5.0029,0.1454,0.7272,3.058,0.021,,
00:03.2,5.0042,0.1397,0.6989,3.079,1.287,,,5.003,0.1467,0.7339,3.052,0.002,,
00:03.3,5.0041,0.1385,0.6931,3.113,0.011,,,5.0031,0.1454,0.7274,3.076,2.84,,
00:03.4,5.0042,0.1378,0.6896,3.035,0.004,,,5.0035,0.1433,0.7168,3.073,0.02,,
00:03.5,5.0042,0.1374,0.6875,3.062,0.115,,,5.0037,0.142,0.7103,3.044,0.004,0.0354,27.7
00:03.6,5.0041,0.1373,0.6871,2.839,0.011,,,5.0042,0.1397,0.6989,3.055,0.014,,
00:03.7,5.0039,0.1416,0.7086,3.063,2.989,,,5.0042,0.1391,0.6963,3.055,0.009,,
00:03.8,5.0038,0.1432,0.7164,3.051,0.007,,,5.0041,0.1382,0.6916,2.871,0.022,,
00:03.9,5.0035,0.1441,0.7208,2.954,0.002,,,5.0041,0.138,0.6906,3.049,0.011,,
00:04.0,5.0032,0.1445,0.7231,3.082,0.844,0.001,27.7,5.0042,0.1376,0.6888,3.051,0.005,,
00:04.1,5.0028,0.1448,0.7245,3.04,0.002,,,5.0042,0.1376,0.6887,3.048,0.002,,
00:04.2,5.0029,0.1452,0.7262,2.783,0.011,,,5.0042,0.1367,0.684,3.047,0.003,,
00:04.3,5.0029,0.1454,0.7272,3.058,0.016,,,5.0042,0.1366,0.6838,3.092,0.004,,
00:04.4,5.0029,0.1454,0.7274,3.051,0.015,,,5.004,0.1423,0.7121,3.088,0.004,,
00:04.5,5.0028,0.1454,0.7274,3.066,0.597,,,5.0042,0.1418,0.7097,3.032,0.03,0.0357,28.4
00:04.6,5.0029,0.1454,0.7272,3.057,0.002,,,5.0041,0.1413,0.7072,2.474,0.033,,
00:04.7,5.0029,0.1453,0.727,1.16,0.002,,,5.0041,0.1412,0.7065,3.058,0.003,,
00:04.8,5.0029,0.1453,0.727,3.099,0.108,,,5.0041,0.141,0.7055,3.038,0.008,,
00:04.9,5.0029,0.1454,0.7272,3.104,0.012,,,5.0041,0.1409,0.7051,1.116,0.005,,
00:04.0,5.0029,0.1453,0.7271,2.769,0.01,,,5.0042,0.1409,0.705,3.04,0.003,,
00:05.1,5.0029,0.1454,0.7273,3.046,0.103,0.0012,27.9,5.0041,0.1407,0.7042,3.052,0.012,,
00:05.2,5.0029,0.1454,0.7273,3.049,0.014,,,5.0041,0.1407,0.7043,3.101,0.023,,
00:05.3,5.003,0.1453,0.727,3.069,0.624,,,5.0042,0.1433,0.7171,0.772,0.01,,
00:05.4,5.0028,0.1453,0.7269,3.057,0.006,,,5.0042,0.1406,0.7035,3.06,0.005,,
00:05.5,5.0029,0.1453,0.7269,3.075,0.136,,,5.0041,0.1435,0.718,3.048,0.002,0.0358,27.2
00:05.6,5.0029,0.1453,0.7269,3.087,1.007,,,5.0041,0.1424,0.7126,3.079,0.044,,
00:05.7,5.0029,0.1453,0.727,3.108,0.01,,,5.0041,0.1443,0.7223,3.036,0.006,,
00:05.8,5.0029,0.1453,0.727,3.041,0.004,,,5.0041,0.143,0.7155,3.057,0.008,,
