2022-05-15 09:37:44,173 send data failed

2022-05-15 09:37:44,207 <-- send data info[panid = 0001, srcid = 7068, dstid = 7067, length = 03]

2022-05-15 09:37:44,227 send failed bacause now sending packet

2022-05-15 09:37:44,240 send data failed

2022-05-15 09:37:44,270 <-- send data info[panid = 0001, srcid = 7068, dstid = 7067, length = 01]

2022-05-15 09:37:44,283 send failed bacause now sending packet

2022-05-15 09:37:44,292 send data failed

2022-05-15 09:37:44,300 Ack Timeout

2022-05-15 09:37:50,975 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 09:37:51,005 RSSI(-13dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 09:38:17,159 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 09:38:17,189 RSSI(-11dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 09:56:14,873 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 09:56:14,915 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64677666666667,N,139.78264833333333,E)

2022-05-15 09:58:06,314 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 09:58:06,359 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64678333333333,N,139.78264166666668,E)

2022-05-15 09:58:51,171 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 09:58:51,215 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64677666666667,N,139.78263333333334,E)

2022-05-15 09:59:14,586 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 09:59:14,631 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64677666666667,N,139.78262833333332,E)

2022-05-15 09:59:33,076 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 09:59:33,121 RSSI(-101dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646766666666664,N,139.78263166666667,E)

2022-05-15 10:00:36,963 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:00:37,008 RSSI(-83dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646766666666664,N,139.78263166666667,E)

2022-05-15 10:01:48,341 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:01:48,385 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646766666666664,N,139.78263166666667,E)

2022-05-15 10:02:31,239 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:02:31,283 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646766666666664,N,139.78263166666667,E)

2022-05-15 10:05:13,630 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:05:13,675 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646391666666666,N,139.78218333333334,E)

2022-05-15 10:05:16,890 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 21]

2022-05-15 10:05:16,933 RSSI(-87dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646393333333336,N,139.782185,E)

2022-05-15 10:05:20,272 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 20]

2022-05-15 10:05:20,314 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646395,N,139.78218666666666,E)

2022-05-15 10:05:23,932 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:05:23,973 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64639666666667,N,139.78219166666668,E)

2022-05-15 10:05:27,363 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:05:27,407 RSSI(-89dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.78219666666666,E)

2022-05-15 10:05:31,030 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 20]

2022-05-15 10:05:31,071 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646405,N,139.78219833333333,E)

2022-05-15 10:05:34,299 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 16]

2022-05-15 10:05:34,337 RSSI(-90dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646405,N,139.7822,E)

2022-05-15 10:05:38,068 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:05:38,114 RSSI(-78dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646406666666664,N,139.78220166666668,E)

2022-05-15 10:05:41,459 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:05:41,503 RSSI(-73dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640833333333,N,139.78220333333334,E)

2022-05-15 10:05:44,959 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:05:45,002 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640833333333,N,139.78220333333334,E)

2022-05-15 10:05:48,220 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 20]

2022-05-15 10:05:48,262 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646405,N,139.78220166666668,E)

2022-05-15 10:05:51,802 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:05:51,846 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640333333333,N,139.78220166666668,E)

2022-05-15 10:05:55,246 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:05:55,290 RSSI(-80dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.78220166666668,E)

2022-05-15 10:05:58,494 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:05:58,535 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.7822,E)

2022-05-15 10:06:01,948 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:06:01,990 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.7822,E)

2022-05-15 10:06:05,446 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:06:05,488 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.7822,E)

2022-05-15 10:06:08,856 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:06:08,897 RSSI(-75dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.7822,E)

2022-05-15 10:06:12,300 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:06:12,338 RSSI(-80dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.7822,E)

2022-05-15 10:06:15,939 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:06:15,981 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64640166666667,N,139.7822,E)
