created,d1,d2,d3,d4,d5,d6,d7,d8,cmnt
10/4/2022, 5:05:21 PM.899,13.116,,,,,,,
10/4/2022, 5:07:35 PM.879,13.12,,,,,,,
10/4/2022, 5:09:13 PM.130,13.116,,,,,,,
10/4/2022, 5:09:59 PM.855,13.116,,,,,,,
10/4/2022, 5:11:00 PM.416,13.116,,,,,,,
10/4/2022, 5:12:01 PM.145,13.116,,,,,,,
10/4/2022, 5:13:47 PM.209,13.116,,,,,,,
10/4/2022, 5:14:47 PM.930,13.116,,,,,,,
10/4/2022, 5:15:48 PM.568,13.116,,,,,,,
10/4/2022, 5:16:49 PM.134,13.116,,,,,,,
10/4/2022, 5:17:49 PM.775,13.116,,,,,,,
10/4/2022, 5:18:51 PM.291,13.116,,,,,,,
10/4/2022, 5:19:52 PM.88,13.112,,,,,,,
10/4/2022, 5:21:13 PM.779,13.112,,,,,,,
10/4/2022, 5:23:10 PM.260,13.116,,,,,,,
10/4/2022, 5:24:10 PM.836,13.112,,,,,,,
10/4/2022, 5:25:11 PM.289,13.116,,,,,,,
10/4/2022, 5:27:04 PM.901,13.112,,,,,,,
10/4/2022, 5:36:47 PM.951,13.116,,,,,,,
10/4/2022, 5:37:52 PM.414,13.112,,,,,,,
10/4/2022, 5:38:52 PM.970,13.112,,,,,,,
10/4/2022, 5:39:53 PM.541,13.112,,,,,,,
10/4/2022, 5:40:54 PM.228,13.112,,,,,,,
10/4/2022, 5:41:55 PM.451,13.112,,,,,,,
10/4/2022, 5:42:56 PM.16,13.112,,,,,,,
10/4/2022, 5:43:56 PM.810,13.112,,,,,,,
10/4/2022, 5:44:57 PM.368,13.116,,,,,,,
10/4/2022, 5:45:58 PM.104,13.112,,,,,,,
10/4/2022, 5:46:59 PM.589,13.116,,,,,,,
10/4/2022, 5:48:00 PM.255,13.112,,,,,,,
10/4/2022, 5:49:00 PM.892,13.112,,,,,,,
10/4/2022, 5:50:01 PM.593,13.112,,,,,,,
10/4/2022, 5:51:02 PM.416,13.112,,,,,,,
10/4/2022, 5:52:03 PM.933,13.116,,,,,,,
10/4/2022, 5:53:04 PM.894,13.116,,,,,,,
10/4/2022, 5:54:05 PM.557,13.112,,,,,,,
10/4/2022, 5:55:06 PM.333,13.112,,,,,,,
10/4/2022, 5:56:07 PM.142,13.112,,,,,,,
10/4/2022, 5:57:08 PM.649,13.112,,,,,,,
10/4/2022, 5:58:09 PM.385,13.108,,,,,,,
10/4/2022, 5:59:10 PM.58,13.112,,,,,,,
10/4/2022, 6:00:10 PM.721,13.108,,,,,,,
10/4/2022, 6:01:11 PM.438,13.112,,,,,,,
10/4/2022, 6:02:12 PM.707,13.112,,,,,,,
10/4/2022, 6:03:13 PM.373,13.116,,,,,,,
10/4/2022, 6:04:13 PM.899,13.112,,,,,,,
10/4/2022, 6:05:14 PM.417,13.112,,,,,,,
10/4/2022, 6:06:14 PM.745,13.116,,,,,,,
10/4/2022, 6:07:16 PM.99,13.112,,,,,,,
10/4/2022, 6:08:16 PM.824,13.112,,,,,,,
10/4/2022, 6:09:17 PM.449,13.116,,,,,,,
10/4/2022, 6:10:18 PM.90,13.112,,,,,,,
10/4/2022, 6:11:18 PM.735,13.116,,,,,,,
10/4/2022, 6:12:20 PM.169,13.112,,,,,,,
10/4/2022, 6:13:20 PM.821,13.112,,,,,,,
10/4/2022, 6:14:21 PM.546,13.112,,,,,,,
10/4/2022, 6:15:22 PM.288,13.112,,,,,,,
10/4/2022, 6:16:23 PM.52,13.112,,,,,,,
10/4/2022, 6:17:24 PM.569,13.112,,,,,,,
10/4/2022, 6:18:25 PM.295,13.112,,,,,,,
10/4/2022, 6:19:26 PM.41,13.112,,,,,,,
10/4/2022, 6:20:26 PM.692,13.108,,,,,,,
10/4/2022, 6:21:27 PM.372,13.116,,,,,,,
10/4/2022, 6:22:28 PM.811,13.108,,,,,,,
10/4/2022, 6:23:29 PM.462,13.112,,,,,,,
10/4/2022, 6:24:30 PM.248,13.112,,,,,,,
10/4/2022, 6:25:30 PM.969,13.112,,,,,,,
10/4/2022, 6:26:31 PM.451,13.112,,,,,,,
10/4/2022, 6:27:32 PM.832,13.112,,,,,,,
10/4/2022, 6:28:33 PM.621,13.112,,,,,,,
10/4/2022, 6:29:34 PM.251,13.112,,,,,,,
10/4/2022, 6:30:34 PM.849,13.112,,,,,,,
10/4/2022, 6:31:35 PM.491,13.112,,,,,,,
10/4/2022, 6:32:36 PM.821,13.112,,,,,,,
10/4/2022, 6:33:37 PM.466,13.112,,,,,,,
10/4/2022, 6:34:38 PM.169,13.112,,,,,,,
10/4/2022, 6:35:38 PM.891,13.116,,,,,,,
10/4/2022, 6:36:39 PM.613,13.112,,,,,,,
10/4/2022, 6:37:41 PM.211,13.112,,,,,,,
10/4/2022, 6:38:41 PM.929,13.112,,,,,,,
10/4/2022, 6:39:42 PM.668,13.116,,,,,,,
10/4/2022, 6:40:43 PM.371,13.116,,,,,,,
