created,d1,d2,d3,d4,d5,d6,d7,d8,cmnt
8/3/2022, 5:49:28 PM.335,,,,,,,,
8/3/2022, 5:49:38 PM.765,,,,,,,,
8/3/2022, 5:49:48 PM.890,,,,,,,,
8/3/2022, 5:49:59 PM.96,,,,,,,,
8/3/2022, 5:50:09 PM.214,,,,,,,,
8/3/2022, 5:50:19 PM.334,,,,,,,,
8/3/2022, 5:50:29 PM.467,,,,,,,,
8/3/2022, 5:50:39 PM.587,,,,,,,,
8/3/2022, 5:50:49 PM.707,,,,,,,,
8/3/2022, 5:50:59 PM.825,,,,,,,,
8/3/2022, 5:51:09 PM.950,,,,,,,,
8/3/2022, 5:51:20 PM.85,,,,,,,,
8/3/2022, 5:51:30 PM.233,,,,,,,,
8/3/2022, 5:51:40 PM.389,,,,,,,,
8/3/2022, 5:52:35 PM.118,0.008,-0.09756097560975609,0,0,,,,
8/3/2022, 5:52:45 PM.269,0.008,-0.09756097560975609,0,-0.01,,,,
8/3/2022, 5:52:55 PM.508,0.008,0,0,-0.01,,,,
8/3/2022, 5:53:05 PM.669,0.008,-0.09756097560975609,0,-0.01,,,,
8/3/2022, 5:53:15 PM.832,0.004,-0.09756097560975609,0,-0.01,,,,
8/3/2022, 5:53:25 PM.989,0.008,0,0,-0.01,,,,
8/3/2022, 5:53:36 PM.148,0.408,1020.0975609756098,415.60975609756093,102.02,,,,
8/3/2022, 5:53:46 PM.311,0.424,1046.4878048780486,443.9024390243902,104.66,,,,
8/3/2022, 5:53:56 PM.468,0.42,1030.7804878048778,433.17073170731703,103.11,,,,
8/3/2022, 5:54:06 PM.633,0.392,967.8048780487804,378.5365853658536,96.79,,,,
8/3/2022, 5:54:16 PM.791,0.392,959.1219512195122,375.60975609756093,95.9,,,,
8/3/2022, 5:54:26 PM.953,0.404,996.4878048780487,405.8536585365853,99.64,,,,
8/3/2022, 5:54:37 PM.112,0.4,973.1219512195121,390.24390243902434,97.33,,,,
8/3/2022, 5:54:47 PM.276,0.392,958.4878048780488,375.60975609756093,95.85000000000001,,,,
8/3/2022, 5:54:57 PM.433,0.396,962.7317073170732,385.36585365853654,96.27,,,,
8/3/2022, 5:55:07 PM.591,0.392,959.3170731707316,375.60975609756093,95.94,,,,
8/3/2022, 5:55:17 PM.749,0.396,957.4146341463414,375.60975609756093,95.74000000000001,,,,
8/3/2022, 5:55:27 PM.915,0.392,948.1951219512194,367.80487804878044,94.84,,,,
8/3/2022, 5:55:38 PM.73,0.392,951.2195121951219,372.68292682926824,95.11,,,,
8/3/2022, 5:55:48 PM.228,0.384,941.0243902439024,360.97560975609747,94.10000000000001,,,,
8/3/2022, 5:55:58 PM.392,0.38,921.0243902439024,350.2439024390244,92.08,,,,
